offensiveAbilityId,birthId,roleId,playerOrganizationId,goals,shotsTotal,shotsOnTarget,pensMade
823,31,36,950,8,72,22,0
824,282,8,775,2,31,8,0
825,39,47,277,4,28,13,0
826,548,10,10,7,47,15,1
827,142,4,229,0,13,3,0
827,142,4,410,0,1,0,0
828,367,30,236,0,1,0,0
829,539,30,86,0,2,0,0
830,315,14,30,7,69,26,0
831,578,8,334,1,23,9,0
832,119,30,151,2,10,3,0
833,126,11,200,1,37,9,0
834,209,36,901,3,33,15,0
835,275,10,294,8,54,22,0
836,430,19,606,0,29,5,0
837,99,2,438,2,28,6,0
838,27,3,954,2,29,3,2
839,446,10,395,12,64,27,2
840,518,10,53,0,2,0,0
841,492,6,462,0,4,0,0
842,104,7,484,0,0,0,0
843,519,19,55,0,3,1,0
844,167,35,576,1,14,4,0
845,241,98,562,2,25,9,0
846,174,10,493,6,42,16,0
847,246,3,783,5,44,14,0
848,406,14,763,5,59,14,0
849,635,39,471,3,22,6,0
850,400,3,704,1,21,7,0
851,602,10,962,1,35,12,0
852,344,30,141,0,13,0,0
853,193,39,813,1,8,2,0
854,656,6,367,0,14,4,0
855,44,11,3,2,20,7,0
856,533,10,525,8,59,14,0
857,481,10,476,18,85,32,1
858,471,46,712,1,20,7,0
859,223,77,408,1,16,2,0
860,566,7,555,0,0,0,0
861,620,3,93,0,14,0,0
862,439,3,32,3,31,8,0
863,289,7,35,0,0,0,0
864,460,35,79,1,12,4,0
865,629,26,878,0,7,1,0
866,149,33,43,13,91,31,0
867,437,32,312,0,1,0,0
868,366,10,406,0,16,8,0
869,399,43,259,0,8,1,0
870,234,108,812,2,10,6,0
871,429,12,135,2,22,9,0
872,606,30,640,1,7,1,0
873,350,10,317,1,31,11,0
874,8,17,80,2,10,6,0
875,165,6,697,2,17,7,0
876,549,75,597,0,21,8,0
877,591,26,256,0,1,0,0
878,49,50,890,1,31,6,0
879,319,60,768,2,31,6,0
880,516,35,965,0,2,0,0
881,170,6,977,2,15,3,0
882,235,8,139,4,34,13,0
883,35,8,251,19,130,56,3
884,340,10,159,1,5,3,0
885,378,68,948,1,9,3,0
886,660,33,601,10,38,20,0
887,558,9,138,4,55,17,0
888,117,32,860,1,17,3,0
889,405,15,701,0,15,4,0
890,639,9,645,7,78,29,0
891,668,6,925,1,8,2,0
892,263,31,444,3,44,14,0
893,318,14,478,4,38,21,0
894,282,35,433,1,15,6,0
895,103,10,463,3,35,10,0
896,312,6,90,2,19,6,0
897,255,10,542,7,33,12,0
898,239,10,108,1,19,3,0
898,239,10,585,0,13,5,0
899,74,38,391,1,6,3,0
900,31,16,425,2,21,6,0
901,642,10,553,2,11,5,0
902,537,24,82,0,3,1,0
903,595,14,660,5,34,14,0
904,421,26,522,0,1,0,0
905,316,11,975,7,32,14,0
906,226,5,691,2,30,9,0
907,468,16,614,0,4,0,0
907,468,16,255,1,24,7,0
908,78,35,546,2,27,11,0
909,555,6,383,2,16,6,0
910,292,7,529,0,0,0,0
911,416,33,952,5,42,13,0
912,425,2,472,0,23,5,0
913,612,45,459,0,0,0,0
914,451,3,888,1,21,3,0
915,305,4,25,2,10,6,0
915,305,4,169,0,5,0,0
916,193,93,318,3,17,5,0
917,45,79,521,15,75,27,7
918,455,8,119,7,38,18,0
919,674,11,456,0,4,0,0
920,485,35,797,0,10,1,0
921,343,86,174,4,63,17,0
922,563,39,158,2,14,4,0
923,419,84,258,2,16,4,0
923,419,84,811,0,7,2,0
924,646,32,153,3,23,4,0
925,187,53,930,4,14,6,0
926,577,5,173,3,18,5,0
927,453,26,750,0,2,0,0
928,54,9,219,6,47,14,3
929,338,16,452,4,61,17,0
930,468,14,897,0,0,0,0
931,246,114,238,7,72,19,5
932,23,19,37,7,69,16,2
933,614,25,661,1,12,3,0
934,306,22,155,3,48,11,0
935,88,35,543,0,1,0,0
936,497,19,355,0,4,2,0
937,638,4,488,0,28,4,0
938,273,77,843,4,14,3,3
939,658,67,439,3,18,9,0
940,33,11,976,1,7,2,0
941,360,10,220,2,42,19,0
942,652,6,581,0,4,0,0
