Name,Position,Club,Division,Nation,Height,Weight,Age,Preferred_Foot,Best_Pos,Best_Role,Value,Wage,CA,PA,Wor,Vis,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pen,Pas,Pac,v1,OtB,Mar,L_Th,Lon,Ldr,Jum,Hea,Han,Fla,Fir,Fin,Dri,Cro,Cor,Cnt,Cmd,Agi,Agg,Aer,Acc
Sergio Escudero,D/WB/M (L),Sevilla,Spanish First Division,ESP,176,72,29,Left,D (L),WB,15250000,30500,140,152,15,12,13,14,12,13,16,1,4,9,13,13,1,12,12,15,14,8,12,11,3,13,14,9,12,13,10,12,1,14,8,2,14
Simone Verdi,AM (RLC),Torino,Italian Serie A,ITA,173,63,26,Either,AM (R),IW,15750000,52000,143,152,12,15,15,14,8,11,14,2,3,13,14,13,1,13,4,5,16,8,4,5,3,15,14,12,15,15,14,11,3,15,13,1,14
Simone Zaza,ST (C),Torino,Italian Serie A,ITA,186,84,27,Left Only,ST (C),PF,10000000,43000,137,152,17,12,14,9,9,14,14,1,1,12,12,16,1,16,7,5,14,13,15,14,2,13,13,14,12,9,6,12,2,14,18,1,14
Suat Serdar,"DM, M (C)",Schalke 04,Bundesliga,GER,183,75,22,Right,M (C),BBM,7500000,25000,136,152,18,12,12,14,15,15,18,2,1,10,12,16,1,17,13,9,13,12,12,10,3,8,12,11,14,9,7,14,1,10,18,3,11
Tom Davies,"DM, M/AM (C)",Everton,English Premier Division,ENG,179,70,20,Right,M (C),BBM,15250000,35000,131,152,17,13,14,15,12,11,15,3,3,8,13,12,1,13,10,2,10,7,10,10,3,14,13,11,12,8,8,14,1,14,15,3,14
Tomas Vaclik,GK,Sevilla,Spanish First Division,CZE,188,82,30,Right,GK,SK,22500000,51000,150,152,10,8,9,14,9,13,12,14,15,9,12,9,1,5,2,2,2,12,15,2,15,8,10,3,5,5,5,15,15,15,6,14,12
Youssef En-Nesyri,"AM (L), ST (C)",Sevilla,Spanish First Division,MAR,189,73,22,Either,ST (C),AF,14000000,49500,139,152,13,9,14,10,5,12,12,2,2,11,8,15,1,14,5,8,13,15,15,13,1,12,12,14,14,9,8,11,2,14,6,1,16
Youssoufa Moukoko,ST (C),Borussia Dortmund,Bundesliga,GER,172,60,14,Left,ST (C),P,8750,55,75,152,8,7,12,6,5,9,11,2,1,12,4,12,1,12,4,1,7,2,10,8,2,11,10,12,10,8,6,5,2,12,11,2,11
Conor Gallagher,"DM, M (C)",West Brom,English Premier Division,ENG,178,74,19,Right,M (C),BBM,0,5000,123,152,16,12,13,15,14,10,16,1,3,7,13,14,1,13,11,6,12,14,9,8,2,12,12,12,12,9,8,14,3,9,14,1,12
Ademola Lookman,"M/AM (RL), ST (C)",Fulham,English Premier Division,ENG,174,78,21,Right,M (L),IW,8000000,49500,136,151,13,10,14,8,6,9,12,1,1,10,10,15,1,13,4,6,14,5,7,8,2,14,13,13,15,12,9,11,3,15,13,3,17
Alessio Riccardi,M/AM (C),Roma,Italian Serie A,ITA,174,68,18,Right,M (C),AP,400000,15250,108,151,14,14,14,13,10,8,12,2,1,8,13,11,1,13,8,5,8,7,8,7,3,14,13,8,11,9,9,13,3,13,11,2,13
Bright Arrey-Mbi,D (LC),FC Bayern,Bundesliga,GER,187,76,16,Left Only,D (C),BPD,275000,55,110,151,13,9,13,12,12,12,13,1,1,8,12,15,1,8,13,6,9,6,13,9,2,9,11,8,11,9,7,12,4,12,7,2,14
Dodi Lukebakio,"M/AM (RL), ST (C)",Hertha Berlin,Bundesliga,BEL,187,77,21,Left,M (R),IW,9000000,49500,138,151,9,12,14,8,5,11,11,3,1,13,12,17,1,12,4,7,12,4,15,9,3,17,12,13,15,13,14,8,3,14,8,1,17
Ezequiel Ávila,"AM (RLC), ST (C)",Osasuna,Spanish First Division,ARG,172,65,25,Right,AM (L),IW,16500000,22500,141,151,15,10,15,15,5,11,16,2,2,11,13,15,1,15,7,7,15,9,5,7,1,15,11,15,13,13,9,9,3,14,15,1,16
Florian Neuhaus,M/AM (C),Borussia M'gladbach,Bundesliga,GER,182,68,22,Right,M (C),MEZ,8750000,41500,138,151,16,15,15,13,11,9,17,2,4,12,13,11,1,15,8,4,14,7,10,7,1,13,15,13,12,11,12,10,2,14,11,1,13
Florin Andone,ST (C),Brighton,English Premier Division,ROU,180,78,26,Right,ST (C),PF,19000000,42000,130,151,16,10,14,15,8,13,14,1,1,13,13,14,1,14,7,9,12,13,11,12,3,13,13,14,13,12,10,14,1,13,17,1,15
Gabriel,D (C),Arsenal,English Premier Division,BRA,190,78,21,Left,D (C),CD,18000000,93000,140,151,14,12,12,14,15,15,15,2,2,7,13,13,1,10,16,7,6,8,15,13,1,1,12,6,8,7,5,13,3,13,15,2,14
Gerard Moreno,ST (C),Villarreal,Spanish First Division,ESP,180,77,27,Left,ST (C),AF,22500000,34500,146,151,16,12,13,15,6,12,14,1,3,15,14,13,1,16,5,8,13,12,13,13,2,13,15,16,13,11,8,14,2,13,13,2,13
Giovanni Di Lorenzo,"D (RLC), WB/M (R)",Napoli,Italian Serie A,ITA,183,77,25,Right,D (R),WB,15000000,37000,143,151,13,11,11,12,14,13,15,2,3,6,13,13,1,16,14,11,12,12,13,13,4,6,13,12,11,13,8,13,3,13,13,4,13
Igor Zubeldia,"D (C), DM, M (C)",Real Sociedad,Spanish First Division,ESP,180,77,22,Right,DM,DLP,21500000,34000,145,151,15,13,15,16,14,14,16,2,1,12,14,12,1,11,14,8,12,11,11,13,4,9,13,12,12,11,9,13,3,13,15,1,12
Jamal Musiala,"AM (RLC), ST (C)",FC Bayern,Bundesliga,ENG,183,68,16,Right,ST (C),AF,1100000,55,126,151,13,12,15,12,11,11,13,1,1,8,13,13,1,14,9,6,11,6,11,11,3,12,11,13,14,11,7,11,3,11,9,2,14
Jeffrey Bruma,D (C),VfL Wolfsburg,Bundesliga,NED,190,88,27,Right,D (C),BPD,3700000,54000,129,151,8,13,12,11,14,16,12,3,4,9,13,15,1,8,14,10,13,12,16,12,3,11,12,8,11,10,5,10,4,11,10,1,12
Joachim Andersen,D (C),Fulham,English Premier Division,DEN,192,87,23,Right,D (C),BPD,6750000,52000,135,151,12,12,13,12,15,14,14,3,3,8,14,12,1,11,15,6,8,10,14,14,4,12,13,6,8,8,8,11,1,11,12,1,12
Karim Bellarabi,M/AM (RL),Bayer 04,Bundesliga,GER,183,80,29,Right,M (R),W,22000000,83000,146,151,17,12,15,13,12,11,16,1,3,9,12,17,1,12,8,7,10,7,8,6,2,15,14,10,16,13,9,10,3,15,17,4,17
Kevin Mbabu,D/WB (R),VfL Wolfsburg,Bundesliga,SUI,184,80,24,Right,D (R),FB,7500000,54000,141,151,16,12,11,13,15,14,17,3,3,6,13,18,1,12,12,14,8,9,13,10,2,8,11,6,13,14,8,11,1,13,14,2,15
Leonardo Spinazzola,D/WB/M (RL),Roma,Italian Serie A,ITA,186,75,26,Right,D (R),WB,17500000,92000,145,151,14,11,14,12,13,12,13,2,3,8,13,17,1,14,10,8,8,7,12,12,2,13,13,7,15,14,4,12,3,13,9,2,15
Luis Suárez,ST (C),Granada,Spanish First Division,COL,185,74,21,Right,ST (C),PF,9500000,25000,134,151,18,10,13,10,6,13,13,3,1,14,10,16,1,16,4,5,10,11,12,13,1,15,12,14,13,10,7,11,3,13,14,3,15
Lukas Klostermann,"D (RLC), WB (R)",RB Leipzig,Bundesliga,GER,189,83,23,Right,D (R),FB,7250000,25000,137,151,14,9,11,13,13,14,17,2,2,7,11,18,1,14,12,15,6,11,15,12,3,7,10,9,8,10,5,12,3,9,12,3,13
Marash Kumbulla,D (C),Roma,Italian Serie A,ALB,185,75,19,Right,D (C),CD,4400000,8000,128,151,13,10,11,14,14,12,14,1,1,5,10,12,1,6,15,3,5,13,13,14,4,8,11,6,9,6,5,13,3,13,13,1,12
Marco Brescianini,"DM, M (C)",Milan,Italian Serie A,ITA,184,77,19,Left Only,M (C),DLP,210000,1400,95,151,13,9,13,12,12,11,10,1,1,7,12,14,1,10,10,11,13,12,11,8,1,8,12,7,10,6,4,10,3,11,8,3,13
Matty Longstaff,"DM, M/AM (C)",Newcastle,English Premier Division,ENG,170,69,19,Right,M (C),BBM,10000000,750,127,151,18,13,12,15,12,13,15,1,3,12,13,13,1,12,11,8,13,10,6,9,1,11,13,11,12,10,10,12,3,10,14,3,12
Maxime Lopez,M/AM (C),Sassuolo,Italian Serie A,FRA,167,58,21,Right,M (C),AP,4800000,24000,129,151,13,15,15,14,8,7,13,3,1,12,16,14,1,13,8,5,10,6,5,3,1,12,15,10,15,12,12,12,2,16,11,1,15
Noah Katterbach,D/WB (L),1. FC Köln,Bundesliga,GER,178,73,18,Either,D (L),FB,3700000,1700,115,151,13,9,13,13,13,9,12,2,2,8,11,14,1,9,12,7,10,7,9,8,3,13,10,9,12,11,9,12,2,12,10,2,13
Ryan Sessegnon,D/WB/M/AM (L),TSG Hoffenheim,Bundesliga,ENG,178,71,19,Left,AM (L),W,20000000,55000,129,151,13,14,13,14,9,8,16,2,3,10,11,15,1,14,9,6,11,7,8,7,3,14,10,12,10,11,7,12,2,14,4,3,15
Tin Jedvaj,"D (RC), WB (R)",Bayer 04,Bundesliga,CRO,184,81,23,Right,D (R),WB,4200000,25000,131,151,14,10,12,10,16,13,13,3,2,8,13,15,1,13,15,17,9,10,12,11,2,9,12,10,9,10,5,9,2,11,12,3,12
Tom Heaton,GK,Aston Villa,English Premier Division,ENG,188,86,33,Right,GK,G,12750000,50000,137,151,6,11,8,18,3,13,10,11,16,3,12,9,1,2,2,3,1,18,14,8,13,1,8,1,3,1,2,17,13,12,7,14,8
Wendell,"D (LC), WB (L)",Bayer 04,Bundesliga,BRA,176,71,25,Left,D (L),WB,7500000,33000,136,151,17,12,14,10,15,8,16,3,1,10,12,14,1,13,13,12,9,7,9,8,2,14,14,7,13,11,10,9,1,16,14,1,17
Marcos Alonso,D/WB/M (L),Chelsea,English Premier Division,ESP,188,87,28,Left,WB (L),WB,0,100000,144,151,15,13,14,14,14,15,16,2,3,12,14,12,1,15,13,12,14,9,13,16,3,12,14,14,12,13,14,12,1,10,12,1,12
Willy Caballero,GK,Chelsea,English Premier Division,ARG,186,81,37,Right Only,GK,SK,0,30000,140,151,13,12,9,12,2,12,10,16,16,1,12,12,1,7,1,2,2,14,13,2,16,12,12,2,2,3,10,13,15,15,6,10,9
Óscar,M/AM (C),Sevilla,Spanish First Division,ESP,174,67,20,Right,AM (C),AM,3400000,15750,125,150,15,15,15,14,6,9,10,3,4,12,14,11,1,15,5,11,15,17,9,11,1,18,13,12,11,10,13,14,3,11,11,1,13
Alberto Moreno,D/WB (L),Villarreal,Spanish First Division,ESP,171,65,26,Left Only,WB (L),WB,14250000,23000,138,150,16,12,14,15,15,13,17,2,3,9,13,15,1,14,13,9,12,7,8,8,3,12,14,5,13,13,8,10,2,15,14,4,15
Alejandro Ibarrondo,M/AM (C),A. Bilbao,Spanish First Division,ESP,170,61,18,Right,AM (C),AM,180000,1300,92,150,10,13,14,5,9,1,8,3,1,8,12,14,1,9,6,6,10,4,4,9,3,13,14,14,5,5,6,8,2,14,8,2,14
Aleksandar Mitrovic,ST (C),Fulham,English Premier Division,SRB,189,82,24,Right,ST (C),TM,21000000,60000,136,150,15,12,15,16,7,17,15,1,2,15,13,13,1,13,9,4,7,13,16,15,1,12,15,15,11,5,4,13,1,12,16,3,13
Andrea Ranocchia,D (C),Inter,Italian Serie A,ITA,195,81,31,Right,D (C),CD,5000000,55000,133,150,13,11,10,16,15,14,13,3,2,8,12,12,1,9,14,8,7,15,18,18,1,6,11,10,8,6,3,9,1,10,14,3,11
Ante Rebic,"M (L), AM (RLC), ST (C)",Milan,Italian Serie A,CRO,185,77,25,Right,AM (L),IW,11250000,100000,139,150,17,12,13,11,10,14,14,2,3,10,11,16,1,14,5,3,11,5,11,10,3,14,12,12,15,12,4,12,1,12,18,3,15
Calum Chambers,"D (RC), DM",Arsenal,English Premier Division,ENG,183,73,24,Right Only,D (R),FB,22500000,50000,139,150,14,12,13,15,15,14,15,2,4,8,13,13,1,11,15,12,8,11,14,14,2,9,13,9,11,11,6,13,2,11,13,4,13
Charles Aránguiz,"DM, M (C)",Bayer 04,Bundesliga,CHI,171,71,30,Right,M (C),DLP,21000000,49000,150,150,17,13,15,18,13,10,17,2,4,17,15,12,1,12,12,8,12,11,7,10,3,10,14,11,11,13,12,14,3,16,13,3,12
Christopher Nkunku,"M (RLC), AM (C)",RB Leipzig,Bundesliga,FRA,175,68,21,Right,M (C),BBM,9750000,49500,135,150,17,14,14,16,11,10,16,2,3,11,13,13,1,15,9,7,13,6,9,8,3,12,12,11,15,12,14,10,2,15,15,2,14
Clinton Mola,"D (C), DM, M (C)",VfB Stuttgart,Bundesliga,ENG,183,78,18,Left,M (C),MEZ,1100000,7250,114,150,16,12,12,13,11,13,12,3,3,8,13,13,1,11,10,10,11,13,11,8,3,10,11,9,13,9,8,9,1,12,15,1,14
Cristian Tello,M/AM (RL),Real Betis,Spanish First Division,ESP,178,66,27,Either,AM (L),IW,15000000,21000,140,150,12,12,14,11,6,8,13,3,1,11,13,15,1,16,5,5,10,9,8,6,1,14,14,12,14,13,11,12,1,14,10,1,16
Curtis Jones,"M (C), AM (RLC)",Liverpool,English Premier Division,ENG,189,81,18,Right Only,AM (L),IW,17000000,4000,131,150,12,14,15,12,9,11,12,3,2,12,15,14,1,13,9,7,13,13,9,8,2,15,14,13,14,12,11,12,4,14,10,3,15
Dani García,"DM, M (C)",A. Bilbao,Spanish First Division,ESP,180,82,29,Right,M (C),CM,21500000,35500,145,150,16,12,12,16,15,14,15,3,1,9,13,13,1,11,14,6,10,15,10,13,3,13,13,8,11,12,11,16,2,12,15,3,13
David Soria,GK,Getafe,Spanish First Division,ESP,192,85,26,Right Only,GK,SK,10000000,19000,144,150,14,8,5,13,3,15,11,17,15,3,8,9,1,11,2,2,2,11,16,4,17,9,7,1,1,3,4,14,17,12,11,15,9
Davide Ghislandi,M/AM (RL),Atalanta,Italian Serie A,ITA,174,65,18,Right,AM (L),IW,75000,220,82,150,11,9,13,7,7,5,7,2,3,6,13,13,1,11,5,1,7,8,8,1,1,13,9,7,9,13,10,7,4,13,11,3,13
Demarai Gray,"M/AM (RL), ST (C)",Bayer 04,Bundesliga,ENG,184,74,22,Right,AM (R),W,33000000,55000,136,150,12,11,13,10,5,9,13,3,2,11,12,16,1,12,7,6,10,7,9,6,3,15,13,10,15,12,12,10,1,14,9,1,15
Dennis Geiger,"DM, M (C)",TSG Hoffenheim,Bundesliga,GER,172,65,21,Right,DM,DLP,7000000,13250,130,150,14,13,15,17,11,7,14,3,1,12,14,10,1,10,10,6,12,9,6,7,2,9,14,8,11,13,15,11,3,16,13,1,12
Dennis Praet,M/AM (C),Leicester,English Premier Division,BEL,181,78,25,Right,M (C),AP,24000000,75000,140,150,12,14,16,14,12,10,15,2,3,10,15,12,1,13,8,12,12,11,9,8,3,16,15,11,15,14,14,18,4,13,7,1,12
Djene Dakonam,"D (RC), WB (R), DM",Getafe,Spanish First Division,TOG,178,71,27,Right,D (R),WB,23000000,36000,147,150,15,12,10,13,15,14,15,3,1,8,9,14,1,11,15,12,8,9,9,9,3,8,11,5,9,11,9,15,1,14,14,4,16
Eddie Salcedo,"AM (L), ST (C)",Verona,Italian Serie A,ITA,178,70,17,Right,ST (C),AF,2100000,220,118,150,12,11,13,11,6,10,13,4,2,12,11,14,1,14,5,6,9,7,12,7,2,14,13,12,14,10,7,11,2,14,8,3,14
Eliaquim Mangala,D (C),Valencia,Spanish First Division,FRA,188,84,28,Left,D (C),NCB,13500000,25000,139,150,15,8,12,15,13,17,15,3,2,10,12,15,1,12,14,12,8,10,15,15,3,8,12,9,8,7,7,12,2,14,19,3,13
Emre Mor,"M (RL), AM (RLC), ST (C)",Vigo,Spanish First Division,TUR,169,64,21,Left,AM (R),IW,1800000,6000,120,150,7,15,16,2,5,4,10,1,3,9,10,13,1,15,4,5,10,1,4,4,2,19,14,9,17,10,11,6,1,18,10,2,18
Enis Bardhi,M/AM (LC),Levante,Spanish First Division,MKD,172,70,23,Right,AM (C),AM,11500000,16500,136,150,13,14,15,13,10,8,13,3,3,12,15,12,1,14,8,5,17,8,6,8,2,15,14,12,15,13,14,13,2,13,12,2,13
Erick Pulgar,"DM, M (C)",Fiorentina,Italian Serie A,CHI,187,74,25,Right,M (C),BBM,12500000,40000,141,150,14,13,14,12,16,13,15,2,2,17,14,13,1,13,13,4,13,9,14,12,3,12,12,12,11,15,15,12,2,13,14,1,13
Erik Lamela,AM (RLC),Tottenham,English Premier Division,ARG,181,80,27,Left Only,AM (R),IW,25000000,80000,140,150,18,16,16,16,12,11,14,3,4,14,15,13,1,14,9,4,13,5,9,9,2,17,14,11,15,14,13,11,1,16,14,2,13
Federico Ricci,"M (R), AM (RLC), ST (C)",Spezia,Italian Serie A,ITA,175,63,25,Left,AM (R),IW,2800000,9250,121,150,13,10,14,13,6,10,14,2,2,12,12,12,1,14,3,3,13,5,7,7,2,16,12,12,13,14,10,11,3,14,10,3,13
Felipe Caicedo,"AM (C), ST (C)",Lazio,Italian Serie A,ECU,183,84,30,Left,ST (C),PF,11250000,64000,141,150,20,15,13,20,10,17,12,2,3,14,15,13,1,16,3,4,12,9,11,15,1,14,14,14,12,10,5,13,3,13,13,2,14
Germán Pezzella,D (C),Fiorentina,Italian Serie A,ARG,187,82,27,Right,D (C),CD,14250000,37000,143,150,14,11,10,12,15,14,14,2,2,7,12,11,1,7,16,8,7,15,16,16,2,10,10,8,7,8,7,14,3,12,15,3,11
Gonzalo Castro,M/AM (RC),VfB Stuttgart,Bundesliga,GER,172,74,32,Right,M (C),AP,3200000,49500,132,150,11,14,15,16,11,9,14,1,1,11,14,12,1,12,9,10,13,9,6,8,3,13,14,11,13,12,13,10,3,14,11,3,12
Gonzalo Escalante,"DM, M (C)",Lazio,Italian Serie A,ARG,183,75,26,Right,M (C),CM,11500000,43000,140,150,14,11,12,15,15,12,14,1,2,8,13,13,1,12,12,8,13,11,11,13,2,9,14,10,11,12,10,15,2,12,16,2,13
Issa Diop,D (C),West Ham,English Premier Division,FRA,194,92,22,Right Only,D (C),CD,15250000,60000,132,150,14,9,11,14,15,16,13,1,2,4,10,14,1,11,13,8,9,14,17,16,3,3,11,6,10,3,3,12,1,10,14,3,13
James Tarkowski,D (C),Burnley,English Premier Division,ENG,186,77,26,Right,D (C),BPD,22500000,50000,136,150,15,9,12,16,15,12,13,2,3,10,14,13,1,8,15,7,6,13,14,16,1,10,13,8,10,6,3,14,2,10,13,3,14
James Ward-Prowse,"DM, M (C)",Southampton,English Premier Division,ENG,173,66,24,Right,M (C),BBM,24000000,45000,140,150,19,16,15,15,13,10,18,3,2,12,15,11,1,13,9,6,11,14,7,7,1,11,13,12,10,18,16,13,1,13,10,3,12
Jeison Murillo,D (C),Vigo,Spanish First Division,COL,182,78,27,Right,D (C),CD,7750000,27500,135,150,13,12,11,12,16,14,14,2,4,8,12,15,1,8,16,4,5,12,13,14,1,6,12,8,8,6,4,10,1,13,13,3,15
Jesús Vallejo,D (C),Granada,Spanish First Division,ESP,184,79,22,Right,D (C),BPD,5500000,33000,128,150,10,12,13,16,15,12,12,1,1,9,12,12,1,8,14,9,8,14,13,12,2,7,12,7,9,8,5,12,1,12,14,1,10
Jesse Lingard,"M (RL), AM (RLC)",West Ham,English Premier Division,ENG,175,62,26,Right,AM (L),IW,27500000,75000,141,150,17,11,14,16,6,8,17,3,4,10,13,15,1,18,5,4,12,5,5,5,2,13,14,12,13,11,8,12,1,15,15,2,15
John McGinn,"DM, M/AM (C)",Aston Villa,English Premier Division,SCO,181,77,24,Left,M (C),MEZ,23000000,50000,139,150,16,15,15,13,13,15,14,1,2,10,14,13,1,14,9,9,14,8,8,8,2,11,13,13,13,14,11,11,2,12,14,2,13
José Campaña,"DM, M/AM (C)",Levante,Spanish First Division,ESP,179,72,26,Right,M (C),DLP,21500000,25000,145,150,12,15,16,15,13,10,14,3,1,12,16,12,1,13,9,5,13,13,9,10,2,15,16,10,12,13,15,15,2,14,10,1,12
José Morales,"M/AM (RL), ST (C)",Levante,Spanish First Division,ESP,180,70,31,Right,M (L),IW,15000000,19750,147,150,13,11,14,11,8,9,15,3,3,13,12,16,1,14,6,6,11,17,9,8,3,15,13,13,15,12,7,13,3,15,11,3,15
Jota,"AM (RLC), ST (C)",Valladolid,Spanish First Division,POR,175,62,20,Either,AM (L),IW,2400000,7000,123,150,10,11,15,8,6,8,10,2,2,11,12,14,1,12,4,5,9,10,8,8,1,16,14,11,15,11,11,8,3,15,11,2,14
Juan Musso,GK,Udinese,Italian Serie A,ARG,191,93,25,Right Only,GK,SK,7500000,12250,137,150,13,12,7,15,1,12,14,14,16,3,10,12,1,2,3,1,3,12,12,8,14,1,5,1,1,1,3,14,13,16,9,15,12
Juraj Kucka,"DM, M (C)",Parma,Italian Serie A,SVK,186,86,32,Right,M (C),BBM,4900000,33500,136,150,15,13,12,14,13,15,15,2,2,12,15,13,1,14,13,8,16,14,12,13,3,12,12,8,12,8,7,13,2,12,14,3,9
Kasper Schmeichel,GK,Leicester,English Premier Division,DEN,189,84,32,Either,GK,SK,24500000,130000,150,150,15,13,10,15,3,10,12,16,16,1,8,11,1,2,1,1,1,17,12,13,14,2,8,3,1,2,9,12,14,14,17,12,12
Kerem Demirbay,M/AM (C),Bayer 04,Bundesliga,GER,185,80,25,Left,M (C),AP,19000000,83000,145,150,14,16,16,12,12,10,16,2,1,13,17,12,1,13,9,7,14,9,11,8,2,15,15,13,13,17,18,10,2,15,13,3,12
Kevin Kampl,M/AM (RLC),RB Leipzig,Bundesliga,SVN,178,67,28,Right,M (C),MEZ,19000000,58000,145,150,18,15,15,16,12,6,16,2,4,10,14,12,1,12,8,6,13,10,8,6,2,15,15,10,14,11,11,11,3,16,18,1,14
Kostas Tsimikas,D/WB (L),Liverpool,English Premier Division,GRE,175,67,23,Left Only,D (L),WB,17000000,86000,138,150,15,12,13,13,14,12,14,2,2,10,12,16,1,14,13,13,10,6,8,8,1,13,14,6,14,15,12,12,3,15,15,1,16
Leander Dendoncker,"D (C), DM, M (C)",Wolves,English Premier Division,BEL,188,76,24,Right,M (C),BBM,24000000,75000,140,150,15,11,11,15,14,12,14,2,3,5,14,12,1,11,14,10,11,12,15,15,3,10,11,11,11,9,9,15,3,12,14,1,14
Lewis Dunk,D (C),Brighton,English Premier Division,ENG,191,78,27,Right,D (C),BPD,21500000,48000,139,150,14,12,13,11,15,14,14,1,2,10,14,14,1,7,13,6,5,14,16,14,2,8,13,6,9,7,5,13,2,11,13,3,12
Loris Karius,GK,Union Berlin,Bundesliga,GER,189,85,26,Right,GK,SK,16500000,60000,135,150,10,12,12,12,2,13,12,17,16,2,12,13,1,8,3,3,2,7,15,6,14,10,13,1,1,1,7,7,11,15,8,11,14
Lucas,"AM (RLC), ST (C)",Alavés,Spanish First Division,ESP,181,78,30,Left,ST (C),AF,12000000,20500,139,150,13,13,15,13,7,13,13,1,3,15,13,14,1,14,5,7,13,12,9,8,2,15,14,15,14,13,12,13,3,13,14,1,14
Lyanco,D (C),Torino,Italian Serie A,BRA,187,84,22,Right,D (C),BPD,6750000,18500,133,150,13,10,12,12,14,15,13,1,3,10,12,15,1,6,14,3,5,10,14,14,2,11,11,7,11,4,4,12,2,13,14,4,13
Manuel Lanzini,AM (C),West Ham,English Premier Division,ARG,167,64,26,Right,AM (C),AP,17000000,70000,132,150,12,14,16,13,5,8,13,1,3,10,13,14,1,14,6,2,13,10,8,8,1,15,15,12,16,12,13,10,3,14,12,1,15
Martin Dubravka,GK,Newcastle,English Premier Division,SVK,190,83,30,Right,GK,SK,15000000,40000,135,150,10,12,10,12,3,12,10,14,15,3,12,9,1,3,5,5,2,13,15,3,15,14,11,1,1,1,1,10,13,12,9,15,13
Maximilian Arnold,"DM, M/AM (C)",VfL Wolfsburg,Bundesliga,GER,183,74,25,Left,M (C),BBM,13500000,66000,142,150,17,13,14,15,12,10,16,4,1,11,15,11,1,15,13,7,15,12,10,9,1,10,13,12,10,12,13,12,2,11,12,2,12
Mert Çetin,D (C),Roma,Italian Serie A,TUR,190,83,22,Right,D (C),BPD,7750000,25000,131,150,11,11,13,10,15,16,15,3,1,5,11,15,1,7,14,4,4,8,12,13,2,5,12,6,9,7,5,13,3,13,12,1,13
Milan Badelj,"DM, M (C)",Fiorentina,Italian Serie A,CRO,186,80,30,Right,DM,DLP,8500000,46000,137,150,13,14,14,17,14,12,14,3,3,13,15,11,1,9,12,3,12,14,12,10,3,12,15,10,13,11,10,10,2,12,12,3,11
Moussa Sissoko,"M (RC), AM (R)",Tottenham,English Premier Division,FRA,187,91,29,Right,M (C),BBM,34000000,80000,149,150,18,13,12,17,14,16,18,1,2,13,13,14,1,15,11,5,10,12,13,13,3,12,13,11,15,12,9,14,2,13,11,3,14
Nathan Redmond,"AM (RLC), ST (C)",Southampton,English Premier Division,ENG,173,75,25,Right,AM (L),IW,28500000,80000,143,150,14,12,13,11,8,9,14,1,1,6,12,16,1,13,7,3,13,4,6,5,2,14,13,12,15,13,7,13,3,14,10,2,16
Nathaniel Clyne,D/WB (R),Crystal Palace,English Premier Division,ENG,176,67,28,Right Only,D (R),WB,19500000,72000,138,150,16,9,13,16,16,14,17,1,2,5,12,14,1,13,12,11,4,9,10,8,2,8,13,5,10,9,5,14,2,15,12,3,15
Nemanja Maksimovic,"DM, M (RC)",Getafe,Spanish First Division,SRB,184,75,24,Right,DM,DLP,10000000,20000,135,150,14,14,12,14,10,14,14,2,3,6,14,14,1,14,11,2,11,13,13,12,2,12,13,11,12,12,12,12,3,12,13,3,13
Nemanja Radoja,"DM, M (C)",Levante,Spanish First Division,SRB,181,72,26,Right,DM,DM,11750000,13250,137,150,14,12,13,15,12,13,14,3,2,9,14,11,1,9,13,8,13,15,12,12,3,10,14,10,10,9,8,16,1,11,13,2,13
Nicolas Nkoulou,D (C),Torino,Italian Serie A,CMR,184,77,29,Right,D (C),BPD,15500000,46000,144,150,14,11,12,15,14,15,14,2,2,7,13,14,1,7,15,6,7,13,13,16,3,9,13,6,10,7,5,12,3,13,12,3,13
Nikola Kalinic,ST (C),Verona,Italian Serie A,CRO,187,78,31,Either,ST (C),PF,6750000,49500,136,150,15,10,13,13,6,15,13,1,1,14,12,13,1,15,5,5,12,11,15,15,4,13,14,13,11,9,5,11,1,14,13,2,12
Ola Aina,D/WB/M (RL),Fulham,English Premier Division,NGA,182,82,22,Right,M (L),IW,10250000,25000,138,150,13,9,12,9,11,11,13,2,1,6,11,17,1,11,10,18,6,7,10,10,1,13,12,6,15,12,5,11,2,14,11,1,17
Omar Alderete,D (C),Hertha Berlin,Bundesliga,PAR,188,92,22,Left,D (C),CD,17750000,45000,130,150,14,8,11,13,15,15,14,2,1,12,12,13,1,7,14,12,4,8,15,16,4,6,11,6,8,10,3,10,2,10,12,2,11
Ozan Kabak,D (C),Liverpool,English Premier Division,TUR,186,86,19,Right,D (C),CD,6000000,33000,129,150,12,10,11,14,16,16,12,3,3,6,12,12,1,6,15,8,6,9,14,15,1,6,11,5,8,6,3,11,1,13,8,3,13
Pascal Groß,M/AM (C),Brighton,English Premier Division,GER,181,78,28,Right,AM (C),AP,21000000,53000,136,150,16,15,15,14,9,12,17,2,1,13,15,9,1,15,9,6,14,11,10,9,2,14,14,12,10,17,17,14,2,13,13,3,8
Portu,"M (RC), AM (R)",Real Sociedad,Spanish First Division,ESP,178,71,27,Right,AM (R),RMD,21000000,31500,144,150,14,15,14,15,11,11,15,1,3,9,14,13,1,15,9,8,14,13,10,8,2,12,14,14,12,11,10,14,2,12,13,1,14
